date,tx_count,tx_type_crypto,tx_type_hcs,tx_type_token,tx_type_contract,tx_type_other,unique_accounts,total_fees_hbar,avg_fee_hbar,success_count,failure_count
2025-12-26,487620,257940,50585,8571,166222,4302,7948,12796.8063,0.0262434,462688,24932
2025-12-27,340869,215980,47065,5322,69623,2879,6277,7977.3352,0.02340294,330335,10534
2025-12-28,26211,17168,3185,362,5308,188,873,501.8491,0.01914651,25538,673
2025-12-29,467169,258309,71092,9158,124496,4114,8099,10837.0854,0.02319736,441800,25369
2025-12-30,388399,232099,62109,6125,85250,2816,6407,8581.6964,0.02209505,374357,14042
2025-12-31,389615,235050,77398,6035,68949,2183,6729,7831.3042,0.02010011,377402,12213
2026-01-01,56017,39310,7767,952,7648,340,1509,1282.8418,0.02290094,53662,2355
2026-02-17,444602,248740,72236,8386,113065,2175,6196,8315.6452,0.01870357,418133,26469
2026-02-18,57298,33213,10961,1324,11385,415,1468,1265.8641,0.02209264,53544,3754
2026-02-19,467322,212298,173382,5444,71672,4526,5401,9738.9399,0.02083989,440392,26930
2026-02-20,703942,231772,371600,5427,92743,2400,5431,11410.0021,0.01620872,685335,18607
2026-02-21,187536,35697,144257,363,6917,302,1352,2738.5447,0.01460277,186921,615
2026-02-22,305045,209707,45069,5734,42972,1563,4768,5536.9753,0.01815134,293982,11063
2026-02-23,368208,229589,46314,6565,83832,1908,5111,7292.845,0.01980632,343695,24513
2026-02-24,428887,233346,48607,4934,81908,60092,6492,7271.8479,0.01695516,409771,19116
2026-02-25,110060,68540,13500,1159,26324,537,2266,1773.5142,0.01611407,104118,5942
2026-02-26,426852,251912,47520,5762,119697,1961,5311,8009.4923,0.0187641,410225,16627
2026-02-27,400530,245489,47038,4785,100964,2254,5758,6659.3705,0.0166264,386024,14506
2026-02-28,458204,266142,44380,5724,139819,2139,5482,8379.6043,0.01828793,434220,23984
2026-03-01,206014,118028,36466,1860,49121,539,2868,2798.4048,0.01358357,198704,7310
2026-03-02,461855,265871,58542,7760,127929,1753,5769,9514.8174,0.02060131,434235,27620
2026-03-03,436767,257361,46273,5288,123739,4106,5515,8172.9725,0.01871243,415542,21225
2026-03-04,441902,264762,43933,7336,123058,2813,6199,8459.1116,0.01914251,417593,24309
2026-03-05,131376,85230,16562,1448,27376,760,2817,2054.936,0.01564164,127107,4269
2026-03-06,451146,260965,44583,5738,97377,42483,42350,25983.8551,0.05759522,431445,19701
2026-03-07,326159,223409,44794,5174,49593,3189,5452,6757.43,0.02071821,309984,16175
2026-03-08,233395,160793,29819,2935,38262,1586,3824,4110.2977,0.01761091,224828,8567
2026-03-09,969571,720864,128873,7244,109707,2883,6864,10231.2199,0.01055232,906515,63056
2026-03-10,334429,143982,136201,3209,50262,775,3577,4923.6454,0.01472254,319874,14555
2026-03-11,554457,301848,47143,24022,156911,24533,5660,10948.3059,0.019746,388408,166049
2026-03-12,380739,248014,46749,5264,68345,12367,15440,11788.173,0.0309613,365299,15440
2026-03-13,412815,252077,47245,7142,102610,3741,6471,8186.0561,0.01982984,381862,30953
2026-03-14,317434,221544,44573,4398,43938,2981,5446,6298.0068,0.01984037,309527,7907
2026-03-15,7755,5625,1268,81,734,47,445,110.8012,0.01428771,7616,139
2026-03-16,386120,246998,46314,5750,84568,2490,6998,7361.1755,0.01906448,365755,20365
2026-03-17,281403,180730,35263,3411,59778,2221,4230,5133.0826,0.01824104,271217,10186
2026-03-18,659061,291220,293826,4839,66234,2942,5241,9189.1782,0.01394283,635932,23129
2026-03-19,171036,98132,62088,964,9255,597,2247,1935.8155,0.01131818,168722,2314
2026-03-20,90796,64049,13118,981,12233,415,2084,1436.3439,0.01581946,88888,1908
2026-03-21,79354,59430,12607,666,6413,238,1845,1060.8324,0.01336835,75663,3691
2026-03-22,97797,65726,12808,1233,17636,394,1970,1480.9523,0.01514313,92511,5286
2026-03-23,434693,66973,353745,1021,11988,966,2407,5800.1724,0.01334315,432484,2209
2026-03-24,92844,64179,13949,1158,12686,872,1991,1959.4326,0.02110457,90670,2174
2026-03-25,99262,68509,13614,1724,14924,491,2197,1693.2283,0.01705817,92797,6465
2026-03-26,198203,130999,13076,1366,52075,687,2207,2991.1191,0.01509119,156834,41369
